Time,Force
0,0
1.0,-0.0
2.0,-124747.0144906556
3.0,-366062.9787682201
4.0,-705342.3027509678
5.0,-1114717.2382160912
6.0,-1299038.105676658
7.0,-1426584.7744427302
8.0,-1491782.8430524098
9.0,-1491782.84305241
10.0,-1426584.7744427305
11.0,-1299038.105676658
12.0,-1114717.2382160916
13.0,-881677.8784387099
14.0,-610104.9646137
15.0,-311867.536226639
16.0,-8.49830834647197e-10
17.0,311867.5362266386
18.0,610104.9646137003
19.0,881677.8784387095
20.0,1114717.238216091
21.0,1299038.1056766578
22.0,1426584.7744427302
23.0,1491782.8430524098
24.0,1491782.84305241
25.0,1426584.7744427305
26.0,1299038.105676658
27.0,1114717.238216091
28.0,881677.87843871
29.0,610104.9646137003
30.0,311867.5362266385
31.0,1.699661669294394e-09
32.0,-311867.5362266378
33.0,-610104.9646136996
34.0,-881677.8784387094
35.0,-1114717.2382160914
36.0,-1299038.1056766575
37.0,-1426584.7744427302
38.0,-1491782.8430524098
39.0,-1491782.84305241
40.0,-1426584.7744427305
41.0,-1299038.1056766587
42.0,-1114717.2382160928
43.0,-881677.87843871
44.0,-610104.9646137016
45.0,-311867.53622664127
46.0,-5.510910596163089e-10
47.0,311867.5362266376
48.0,610104.9646137005
49.0,881677.8784387092
50.0,1114717.2382160905
51.0,1299038.105676658
52.0,1426584.7744427302
53.0,1491782.84305241
54.0,1491782.8430524098
55.0,1426584.7744427307
56.0,1299038.1056766573
57.0,1114717.2382160912
58.0,881677.8784387102
59.0,610104.9646136994
60.0,311867.5362266388
